Fecha,Active_energy,Reactive_energy,Voltaje_FA,Voltaje_FC
2021-01-01 00:00:00,0.231,0.016305531597671,2066.4432712581347,2020.978298641746
2021-01-01 01:00:00,0.0758761404401491,0.0651298977998058,2062.1770519200227,2015.5347916212336
2021-01-01 02:00:00,0.1079591902131086,0.0214885201739254,2082.1118596400506,2006.7230305145424
2021-01-01 03:00:00,0.2671457710438385,0.4327800038062073,2171.753808474265,2076.4331742755408
2021-01-01 04:00:00,0.5491144504500177,0.5719666292575498,2022.981396060864,2030.0641262314653
2021-01-01 05:00:00,0.6292122069887561,0.6100061972411828,2207.7573803784376,1993.2042793550245
2021-01-01 06:00:00,0.8470612208125159,0.7366861614739644,2148.7453140392727,2048.540899075049
2021-01-01 07:00:00,0.7177058326087575,0.8385274703273806,1952.077523930816,2067.2772994880297
2021-01-01 08:00:00,0.5787486392320564,0.7672787024911767,2120.71374180068,2121.7721199992257
2021-01-01 09:00:00,0.6293761502561193,0.6998967506886883,2073.360507411816,1958.5346037778136
2021-01-01 10:00:00,0.7407890103292103,0.617786772706646,2026.402277784235,2051.376014451029
2021-01-01 11:00:00,0.5126264655192327,0.5564254458803519,1987.3141693037244,1981.8386544576604
2021-01-01 12:00:00,0.6373279562463188,0.6166227917601634,1932.0609117270908,2153.652160718034
2021-01-01 13:00:00,0.6561386734436925,0.6686469438210818,2084.425582307524,1957.991126483389
2021-01-01 14:00:00,0.4699627534638023,0.501560274903358,2026.534543713704,1995.190916528746
2021-01-01 15:00:00,0.6033944661163307,0.8390458660807714,2159.6261618081626,2073.442521175631
2021-01-01 16:00:00,0.8175206263050399,0.6473874996855191,1986.986218206568,2014.1426163065005
2021-01-01 17:00:00,0.6339401273017045,0.4739893029701296,1924.0081569440629,2159.5676397368675
2021-01-01 18:00:00,0.4133707756365606,0.4303262035117396,2086.8591952728966,2174.489603623624
2021-01-01 19:00:00,0.5144864426254612,0.5223408940056742,2032.1626614059803,2073.9478311132984
2021-01-01 20:00:00,0.6217671969754255,0.5560325801894273,2048.507031020837,1940.0526928476704
2021-01-01 21:00:00,0.3639067981856932,0.432881487628615,1852.2798995367043,2128.988955935393
2021-01-01 22:00:00,0.0302921511006974,0.0525517565041236,2079.3262257246934,2061.6322068167765
2021-01-01 23:00:00,0.231,0.231,2095.529489212513,2015.3866291667616
2021-01-02 00:00:00,0.0123322054962628,0.231,2051.571095725895,2108.694391189772
2021-01-02 01:00:00,0.1346042484615516,0.0007121137569014,1925.3412074061096,1940.510423638712
2021-01-02 02:00:00,0.0422490216932269,0.231,2113.739539518905,2085.962486479207
2021-01-02 03:00:00,0.1278547582567674,0.419130447000605,2145.991792020659,2038.0780050638448
2021-01-02 04:00:00,0.6535011979588499,0.8522650117710806,2173.9309095464228,2065.166932079992
2021-01-02 05:00:00,0.7171726129148663,0.582284847961859,2027.667298026148,2060.761200144661
2021-01-02 06:00:00,0.6544458621543539,0.7558107335758131,2071.3781041207385,2058.848308311524
2021-01-02 07:00:00,0.5522159218043633,0.5821599265443482,2110.691525646121,2069.732094714865
2021-01-02 08:00:00,0.8434432100574802,0.6256299623140283,2177.985913565244,1851.5909150116831
2021-01-02 09:00:00,0.7929720332700296,0.6083072473929502,2104.187256605333,2001.619571580671
2021-01-02 10:00:00,0.728020940560556,0.5749529903239209,2063.25537709985,1944.761308358716
2021-01-02 11:00:00,0.6673945139722817,0.8398987690547697,2017.2255613882387,2122.308530436221
2021-01-02 12:00:00,0.5812990813298179,0.7037867694243213,2050.5387757673902,2054.932525203676
2021-01-02 13:00:00,0.832507582584346,0.7757174127674336,2072.339694865726,2113.378352506158
2021-01-02 14:00:00,0.6434388579395313,0.8237256056985043,2101.364607877953,2153.555761348373
2021-01-02 15:00:00,0.8145265377661942,0.8407545163828036,2064.550318895512,2096.918495427613
2021-01-02 16:00:00,0.5865602167911306,0.6701362339425425,2046.2098072272256,2143.496545075618
2021-01-02 17:00:00,0.4742300858371591,0.3320671534057294,2005.681689576213,1981.4755121215787
2021-01-02 18:00:00,0.3801212242450539,0.4216211611550767,2035.0026325449755,2030.3000662973493
2021-01-02 19:00:00,0.6125529312151536,0.7436201572429126,1942.1494029458947,2012.602738088225
2021-01-02 20:00:00,0.7248349740050797,0.6554196032866582,2004.7678842445848,1991.0257655437813
2021-01-02 21:00:00,0.4938373154302348,0.4755768367212083,2151.9934643809147,1932.865244596377
2021-01-02 22:00:00,0.1583598169793883,0.0959602428513808,1923.8847803827543,2097.290681197117
2021-01-02 23:00:00,0.1205152610075665,0.1011071853112822,2068.160634812873,2090.150559504239
2021-01-03 00:00:00,0.231,0.1059512054660944,1897.2765409069248,2011.7241185814216
2021-01-03 01:00:00,0.231,0.1459639593156158,1974.8317385707533,2111.8270365527023
2021-01-03 02:00:00,0.2304560457786886,0.231,2006.561938432524,1951.6326143548315
2021-01-03 03:00:00,0.204759452865438,0.3918594216200115,2079.8635209556223,2044.054815467793
2021-01-03 04:00:00,0.6631234034300393,0.7647631918857734,2131.0901561064584,2011.9239340432205
2021-01-03 05:00:00,0.6181380207220983,0.7669956396890227,1983.290819297324,2064.403492165088
2021-01-03 06:00:00,0.5160338739855018,0.624167479678287,2087.7302557613534,2032.78888416762
2021-01-03 07:00:00,0.6447848342274402,0.7782487909141449,1969.990661918723,1984.939838682858
2021-01-03 08:00:00,0.8708747405013486,0.8064417751005215,2074.9317214880416,2103.0195986913186
2021-01-03 09:00:00,0.6665234541067923,0.6864302568541555,2008.359594620611,2079.983320294817
